1,2.2888,0.8086,3.7637,0.48844
2,2.1758,0.76347,3.5266,0.83165
3,2.1844,0.84176,3.9166,1.1865
4,2.1101,0.74422,3.4629,1.5746
5,2.1887,0.83222,3.8576,1.9683
6,2.1841,0.82327,3.8097,2.3729
7,2.1641,0.79537,3.6976,2.7335
8,2.2166,0.84895,3.949,3.142
9,2.2457,0.84222,3.9136,3.5202
10,2.1738,0.78005,3.6438,3.9289
11,2.2078,0.81276,3.7794,4.2816
12,2.2656,0.82981,3.8545,4.705
13,2.2134,0.80625,3.7416,5.0772
14,2.182,0.77341,3.5942,5.4993
15,2.2242,0.80997,3.7628,5.9361
16,2.2047,0.79801,3.7012,7.9882
17,2.2237,0.81466,3.7923,6.6715
18,2.2783,0.85251,3.9707,7.0624
19,2.2831,0.83539,3.8794,7.4326
20,2.239,0.82551,3.8378,7.8519
21,2.2895,0.84084,3.9109,8.2182
22,2.2817,0.81538,3.7842,8.5892
23,2.333,0.84804,3.9417,8.97
24,2.2896,0.82919,3.854,9.3854
25,2.3151,0.84361,3.9228,10.039
26,2.3461,0.86332,4.0108,10.593
27,2.3037,0.82685,3.8424,10.914
28,2.3309,0.85776,3.988,10.965
29,2.3353,0.84634,3.9311,11.324
30,2.3701,0.86366,4.0117,11.717
31,2.3969,0.8731,4.0586,12.098
32,2.3699,0.85718,3.9854,12.648
33,2.3974,0.86726,4.0302,12.867
34,2.3699,0.84777,3.9393,13.707
35,2.4025,0.86341,4.0158,14.018
36,2.4015,0.87243,4.0557,14.333
37,2.4491,0.87423,4.0643,14.912
38,2.4552,0.88158,4.1005,15.055
39,2.4475,0.89288,4.1445,16.15
40,2.4759,0.89935,4.173,15.748
41,2.4887,0.88605,4.1189,16.781
42,2.5267,0.90996,4.2311,16.473
43,2.5343,0.90815,4.219,16.928
44,2.5385,0.9185,4.2657,19.769
45,2.5585,0.91231,4.2448,19.439
46,2.5699,0.9224,4.285,18.522
47,2.6065,0.93474,4.3432,18.54
48,2.6084,0.94696,4.3941,18.755
49,2.648,0.95253,4.4283,19.282
50,2.6535,0.94306,4.3813,19.662
51,2.7107,0.97438,4.5243,20.006
52,2.6709,0.95025,4.4172,20.335
53,2.7239,0.98818,4.5852,20.799
54,2.7548,0.97721,4.5445,21.642
55,2.7409,0.97022,4.5101,21.534
56,2.7644,0.98416,4.5725,22.104
57,2.7992,0.99798,4.6304,22.428
58,2.818,1.0059,4.6703,22.688
59,2.8053,0.99362,4.6184,23.054
60,2.8471,1.0102,4.6967,23.582
61,2.8611,1.0068,4.6801,26.048
62,2.8814,1.0253,4.7626,24.782
63,2.9442,1.0507,4.8775,24.679
64,2.9581,1.0425,4.8472,25.889
65,2.988,1.0735,4.9881,25.786
66,3.0687,1.095,5.0864,26.293
67,3.0764,1.0892,5.0612,28.997
68,3.1247,1.1239,5.223,27.163
69,3.1452,1.1334,5.2631,27.633
70,3.2101,1.1302,5.2478,31.061
71,3.2816,1.1526,5.3553,27.582
72,3.245,1.1415,5.3059,28.077
73,3.2907,1.1662,5.4199,28.446
74,3.3412,1.1985,5.5646,33.93
75,3.4271,1.2054,5.6012,30.875
76,3.4681,1.2316,5.7201,30.722
77,3.531,1.2498,5.8085,31.082
78,3.5944,1.2671,5.8902,32.13
79,3.605,1.3043,6.0586,31.262
80,3.7772,1.3467,6.2561,31.639
81,3.7602,1.3294,6.1784,32.693
82,3.8447,1.3624,6.3317,32.901
83,4.0267,1.4408,6.6953,33.54
84,4.023,1.4225,6.6104,34.599
85,NaN,NaN,NaN,34.436
86,NaN,NaN,NaN,33.981
87,NaN,NaN,NaN,34.392
88,NaN,NaN,NaN,33.832
89,NaN,NaN,NaN,34.076
90,NaN,NaN,NaN,33.975
91,NaN,NaN,NaN,34.394
92,NaN,NaN,NaN,33.836
93,NaN,NaN,NaN,33.651
94,NaN,NaN,NaN,33.076
95,0,0,0,0
96,0,0,0,0
97,0,0,0,0
98,0,0,0,0
99,0,0,0,0
100,0,0,0,0
