,,,,,,,,,,1.3017,125.86
,,,,,,,,,,1.3604,127.31
,,,,,,,,,,1.2115,126.55
,,,,,,,,,,1.2837,130.36
,,,,,,,,,,1.423,121.64
,,,,,,,,,,1.2146,128.13
,,,,,,,,,,1.2793,125.63
,,,,,,,,,,1.6162,129.16
,,,,,,,,,,1.2643,123.07
,,,,,,,,,,1.4172,122.49
,,,,,,,,,,1.2736,122.51
,,,,,,,,,,1.4704,116.73
,,,,,,,,,,1.324,117.3
,,,,,,,,,,1.3464,115.27
,,,,,,,,,,1.2517,116.53
,,,,,,,,,,1.4839,115.41
,,,,,,,,,,1.4841,113.03
,,,,,,,,,,1.4065,105.91
,,,,,,,,,,1.3175,104.79
,,,,,,,,,,1.6114,104.01
,,,,,,,,,,1.3825,102.23
0.82346,0.59021,0.97397,1.524,0.81017,1.3861,1.422,3.4031,1.4284,1.142,,
0.84986,0.57442,0.96297,1.7369,0.86543,1.4382,1.4079,3.4018,1.4217,1.1192,,
0.84235,0.59017,0.98065,1.6328,0.82391,1.2881,1.5214,3.3582,1.3469,1.1756,,
0.77793,0.57205,1.0582,1.5118,0.84425,1.6189,1.5625,3.135,1.4612,1.1659,,
0.80629,0.56001,1.0893,1.5301,0.82308,1.4726,1.5345,2.7126,1.4212,1.153,,
0.86118,0.58146,0.95969,1.3759,0.80639,1.823,1.5575,3.5256,1.5253,1.1874,,
0.85629,0.57065,1.0157,1.7785,0.97404,2.5473,1.5465,3.9552,2.4596,1.2282,,
1.0034,0.60067,1.0402,1.5974,0.88177,1.891,1.4322,3.0749,1.505,1.1785,,
0.79605,0.56867,1.0726,2.2355,0.82209,1.5701,1.5353,4.2922,1.365,1.2652,,
0.85176,0.56682,1.1323,1.7281,0.83352,1.4901,1.4858,3.3672,1.3667,1.3746,,
0.94041,0.60972,1.2091,1.5327,1.0483,1.7363,1.4068,3.6905,1.457,1.1832,,
0.9476,0.59163,1.0285,1.7512,0.87028,1.5504,1.5733,3.579,1.5075,1.2956,,
0.94559,0.66259,1.2034,1.7175,0.91961,2.0874,1.527,NaN,1.5656,1.3096,,
0.91045,0.60362,1.1892,1.9496,0.89635,1.4968,1.4676,4.9412,1.5412,1.2671,,
0.95194,0.58332,1.0733,1.7269,0.88802,1.3614,1.5627,3.5423,1.6089,1.2418,,
0.95422,0.60202,1.2024,1.6693,1.0045,1.7079,1.5783,3.5049,1.6435,1.4403,,
0.98706,0.81255,1.0835,1.7686,0.89938,1.6605,1.935,3.9717,1.4853,1.3152,,
1.0625,0.59279,1.1091,1.8032,0.88274,1.6387,1.4565,3.801,1.5043,1.1962,,
0.97931,0.63957,1.1836,2.7231,0.96165,2.0552,1.6304,3.1642,1.7277,1.0457,,
1.0177,0.70854,1.1139,2.7525,1.0019,1.8275,1.4641,3.4276,1.6009,1.482,,
1.0183,0.6341,1.195,1.6853,0.89364,1.7795,1.7626,NaN,1.5694,1.4245,,
1.0562,0.71008,1.0842,1.5688,1.0028,1.7912,1.7601,NaN,1.6724,1.4333,,
1.0061,0.73805,1.211,1.8972,0.99944,1.7045,1.6968,3.5045,1.6672,1.5455,,
1.0551,0.72417,1.2102,1.7537,1.0306,1.884,1.5458,NaN,1.7306,1.5489,,
1.2057,0.61237,1.2834,1.7935,1.029,2.0141,1.6565,4.0194,1.7627,1.3907,,
1.1357,0.76965,1.3268,1.8904,1.1202,1.7651,1.4964,NaN,2.1322,1.4801,,
1.1767,0.82089,1.3038,1.9272,1.212,1.9285,1.4702,NaN,1.7444,1.5647,,
1.2795,0.89476,1.2613,1.6733,1.1641,2.009,1.4672,NaN,1.7261,1.7317,,
1.2982,0.80393,1.4367,1.8113,1.0307,2.0584,1.745,3.3772,1.8094,1.5482,,
1.332,0.87981,1.3577,2.2084,1.2014,2.1137,1.6586,NaN,1.8526,1.8123,,
1.2994,0.83298,1.29,1.7792,1.1617,2.0408,1.5247,3.0442,1.6515,1.514,,
1.3106,1.0892,1.3598,1.9241,1.284,2.6319,1.6013,NaN,2.0638,1.5791,,
1.3798,0.99977,1.3007,1.8839,1.1588,1.9702,1.6945,NaN,1.9468,1.6028,,
1.369,1.1036,1.3135,1.9093,1.2222,1.8982,1.8026,NaN,1.7715,1.5357,,
1.4482,1.0544,1.3485,2.0809,1.394,2.1383,1.6193,NaN,1.8969,1.5338,,
1.4358,1.1283,1.3778,1.9861,1.1737,2.2927,1.6063,NaN,2.0394,1.6177,,
1.4676,1.0919,1.3951,1.7864,1.2451,2.0711,1.7181,NaN,2.0128,1.5175,,
1.7052,1.0044,1.4895,1.8667,1.4185,2.1904,1.6471,NaN,2.1786,1.5754,,
1.627,1.1732,1.4294,2.1421,1.4309,2.2081,1.5966,NaN,2.25,1.5817,,
1.5945,1.2038,1.5903,1.9737,1.486,2.3287,1.7256,NaN,2.2202,1.6552,,
1.549,1.2538,1.5784,1.9092,1.2904,2.3729,1.6105,NaN,2.1627,1.6836,,
1.6041,1.3632,1.4299,2.0025,1.4979,3.3482,1.5264,NaN,2.2115,1.6633,,
1.6205,1.2679,1.6253,1.9323,1.4503,2.3555,1.7569,NaN,2.247,1.6256,,
1.6791,1.5231,1.6141,1.907,1.6114,2.338,1.7524,NaN,2.4105,1.7713,,
